ID,x,y,z
0,0.547169811,-0.173584906,0.698113208
1,0.547169811,-0.173584906,0.698113208
2,0.547169811,-0.173584906,0.698113208
3,0.547169811,-0.173584906,0.698113208
4,0.547169811,-0.173584906,0.698113208
5,0.547169811,-0.173584906,0.698113208
6,0.547169811,-0.173584906,0.698113208
7,0.547169811,-0.173584906,0.698113208
8,0.547169811,-0.173584906,0.698113208
9,0.547169811,-0.173584906,0.698113208
10,0.547169811,-0.173584906,0.698113208
11,0.547169811,-0.173584906,0.698113208
12,0.547169811,-0.173584906,0.698113208
13,0.547169811,-0.173584906,0.698113208
14,0.547169811,-0.173584906,0.698113208
15,0.547169811,-0.173584906,0.698113208
16,0.547169811,-0.173584906,0.698113208
17,0.547169811,-0.173584906,0.698113208
18,0.547169811,-0.173584906,0.698113208
19,0.362264151,-0.188679245,0.520754717
20,0.343396226,-0.464150943,0.347169811
21,0.267924528,-0.441509434,0.58490566
22,0.305660377,-0.464150943,0.581132075
23,0.347169811,-0.490566038,0.577358491
24,0.388679245,-0.513207547,0.573584906
25,0.430188679,-0.539622642,0.569811321
26,0.471698113,-0.566037736,0.562264151
27,0.550943396,-0.833962264,0.479245283
28,0.509433962,-0.924528302,0.645283019
29,0.532075472,-0.905660377,0.396226415
30,0.509433962,-0.901886792,0.4
31,0.486792453,-0.901886792,0.403773585
32,0.464150943,-0.901886792,0.40754717
33,0.441509434,-0.901886792,0.411320755
34,0.418867925,-0.901886792,0.41509434
35,0.396226415,-0.901886792,0.418867925
36,0.373584906,-0.901886792,0.422641509
37,0.350943396,-0.901886792,0.426415094
38,0.332075472,-0.901886792,0.430188679
39,0.309433962,-0.901886792,0.433962264
40,0.286792453,-0.901886792,0.437735849
41,0.264150943,-0.901886792,0.441509434
42,0.241509434,-0.901886792,0.445283019
43,0.218867925,-0.901886792,0.449056604
44,0.196226415,-0.901886792,0.452830189
45,0.173584906,-0.901886792,0.456603774
46,0.154716981,-0.901886792,0.460377358
47,0.132075472,-0.901886792,0.464150943
48,0.109433962,-0.901886792,0.467924528
49,0.086792453,-0.901886792,0.471698113
50,0.067924528,-0.901886792,0.475471698
51,0.045283019,-0.901886792,0.479245283
52,0.022641509,-0.901886792,0.483018868
53,0,-0.901886792,0.486792453
54,-0.022641509,-0.901886792,0.486792453
55,-0.030188679,-0.920754717,0.245283019
56,0.083018868,-0.811320755,0.396226415
57,0.056603774,-0.78490566,0.4
58,0.030188679,-0.762264151,0.4
59,0.003773585,-0.739622642,0.4
60,-0.022641509,-0.716981132,0.4
61,-0.049056604,-0.694339623,0.4
62,-0.075471698,-0.671698113,0.4
63,-0.101886792,-0.649056604,0.4
64,-0.128301887,-0.626415094,0.4
65,-0.154716981,-0.603773585,0.4
66,-0.181132075,-0.581132075,0.4
67,-0.20754717,-0.558490566,0.4
68,-0.233962264,-0.535849057,0.403773585
69,-0.260377358,-0.513207547,0.403773585
70,-0.286792453,-0.490566038,0.403773585
71,-0.313207547,-0.467924528,0.403773585
72,-0.339622642,-0.445283019,0.403773585
73,-0.366037736,-0.422641509,0.403773585
74,-0.39245283,-0.4,0.403773585
75,-0.418867925,-0.377358491,0.403773585
76,-0.445283019,-0.354716981,0.403773585
77,-0.471698113,-0.332075472,0.403773585
78,-0.498113208,-0.309433962,0.403773585
79,-0.41509434,-0.196226415,0.562264151
80,-0.343396226,-0.222641509,0.241509434
81,-0.343396226,-0.275471698,0.509433962
82,-0.347169811,-0.120754717,0.41509434
83,-0.403773585,-0.120754717,0.4
84,-0.464150943,-0.120754717,0.38490566
85,-0.524528302,-0.120754717,0.366037736
86,-0.58490566,-0.124528302,0.350943396
87,-0.645283019,-0.124528302,0.332075472
88,-0.701886792,-0.124528302,0.316981132
89,-0.762264151,-0.128301887,0.301886792
90,-0.822641509,-0.128301887,0.283018868
91,-0.883018868,-0.128301887,0.267924528
92,-0.943396226,-0.132075472,0.249056604
93,-0.826415094,-0.060377358,0.011320755
94,-0.875471698,-0.120754717,0.275471698
95,-0.864150943,-0.083018868,0.294339623
